airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-05-06,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,4030
Jet Airways,2019-04-21,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No Info,7229
Multiple Carriers,2019-06-12,Delhi,Cochin,11:30:00,21:00:00,570,1.0,No Info,13587
Air India,2019-03-15,Banglore,New Delhi,05:50:00,16:20:00,630,2.0,No Info,7664
Indigo,2019-06-12,Kolkata,Banglore,08:10:00,13:00:00,290,1.0,No Info,5069
Air Asia,2019-03-12,Kolkata,Banglore,19:35:00,22:05:00,150,0.0,No Info,4384
Air India,2019-03-03,Banglore,New Delhi,21:10:00,23:55:00,165,0.0,No Info,7591
Jet Airways,2019-03-06,Delhi,Cochin,17:55:00,04:25:00,2070,2.0,In-flight meal not included,15812
Spicejet,2019-05-09,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,2175
Goair,2019-05-15,Kolkata,Banglore,23:30:00,07:45:00,495,1.0,No Info,6945
Indigo,2019-04-27,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4804
Indigo,2019-05-15,Delhi,Cochin,06:40:00,21:00:00,860,1.0,No Info,7191
Goair,2019-06-06,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,3898
Jet Airways,2019-06-12,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,In-flight meal not included,8529
Jet Airways,2019-05-21,Delhi,Cochin,20:55:00,19:00:00,1325,1.0,No Info,16079
Air India,2019-05-24,Kolkata,Banglore,16:50:00,13:45:00,1255,2.0,No Info,12802
Air India,2019-03-09,Delhi,Cochin,09:45:00,09:25:00,1420,2.0,No Info,10660
Indigo,2019-06-09,Delhi,Cochin,20:25:00,01:30:00,305,1.0,No Info,5458
Multiple Carriers,2019-05-21,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,14067
Multiple Carriers,2019-03-27,Delhi,Cochin,10:45:00,19:15:00,510,1.0,No Info,7154
Indigo,2019-06-12,Delhi,Cochin,14:20:00,22:30:00,490,1.0,No Info,6938
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,18:00:00,1295,1.0,No Info,12692
Indigo,2019-04-06,Delhi,Cochin,10:35:00,15:35:00,300,1.0,No Info,5073
Multiple Carriers,2019-06-01,Delhi,Cochin,12:50:00,21:00:00,490,1.0,No Info,7005
Goair,2019-04-27,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,5048
Jet Airways,2019-05-27,Delhi,Cochin,14:00:00,04:25:00,865,1.0,In-flight meal not included,12898
Spicejet,2019-03-15,Mumbai,Hyderabad,22:45:00,00:10:00,85,0.0,No check-in baggage included,2647
Spicejet,2019-04-03,Kolkata,Banglore,15:05:00,20:20:00,315,1.0,No Info,4649
Indigo,2019-06-24,Delhi,Cochin,05:05:00,12:10:00,425,1.0,No Info,6442
Jet Airways,2019-06-12,Delhi,Cochin,14:35:00,12:35:00,1320,2.0,No Info,13376
Spicejet,2019-03-15,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3847
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,18:10:00,700,1.0,No Info,13759
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,19:50:00,345,1.0,No Info,14781
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,22:35:00,510,1.0,No Info,14781
Jet Airways,2019-03-18,Banglore,New Delhi,16:55:00,08:15:00,920,1.0,No Info,13555
Air India,2019-05-12,Kolkata,Banglore,05:50:00,23:15:00,1045,2.0,No Info,11411
Indigo,2019-03-18,Mumbai,Hyderabad,21:20:00,22:45:00,85,0.0,No Info,2227
Air India,2019-06-27,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4145
Spicejet,2019-04-01,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,1965
Air India,2019-05-24,Kolkata,Banglore,14:35:00,14:35:00,1440,1.0,No Info,6528
Air India,2019-03-03,Delhi,Cochin,04:00:00,07:40:00,1660,1.0,No Info,14462
Jet Airways,2019-06-06,Delhi,Cochin,16:00:00,04:25:00,745,1.0,No Info,14714
Air India,2019-04-01,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,2050
Indigo,2019-05-18,Delhi,Cochin,17:10:00,01:30:00,500,1.0,No Info,7081
Indigo,2019-05-15,Kolkata,Banglore,09:20:00,14:15:00,295,1.0,No Info,11319
Indigo,2019-05-21,Kolkata,Banglore,06:20:00,10:20:00,240,1.0,No Info,4226
Air Asia,2019-05-21,Kolkata,Banglore,19:55:00,23:30:00,215,1.0,No Info,5162
Indigo,2019-06-01,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No Info,4049
Multiple Carriers,2019-06-03,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No Info,13587
Spicejet,2019-06-06,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Multiple Carriers,2019-03-01,Delhi,Cochin,19:00:00,01:35:00,395,1.0,No Info,23533
Spicejet,2019-04-15,Delhi,Cochin,15:45:00,22:05:00,380,1.0,No Info,5899
Multiple Carriers,2019-06-24,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No Info,13377
Air India,2019-03-21,Banglore,New Delhi,05:50:00,16:20:00,630,2.0,No Info,7664
Indigo,2019-04-24,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No Info,5065
Multiple Carriers,2019-03-03,Delhi,Cochin,13:05:00,21:20:00,495,2.0,No Info,11966
Air India,2019-04-01,Kolkata,Banglore,09:25:00,05:25:00,1200,2.0,No Info,12219
Air India,2019-03-27,Delhi,Cochin,09:45:00,08:15:00,1350,1.0,No Info,7416
Indigo,2019-05-09,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Air India,2019-03-03,Delhi,Cochin,09:45:00,23:00:00,795,1.0,No Info,27282
Jet Airways,2019-05-18,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,7229
Multiple Carriers,2019-05-27,Delhi,Cochin,09:00:00,21:00:00,720,1.0,In-flight meal not included,7886
Air India,2019-03-03,Banglore,New Delhi,08:15:00,08:50:00,1475,1.0,No Info,6781
Vistara,2019-04-01,Kolkata,Banglore,17:00:00,23:25:00,385,1.0,No Info,8610
Jet Airways,2019-06-27,Delhi,Cochin,11:30:00,19:00:00,450,1.0,In-flight meal not included,10262
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,No Info,14571
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,No Info,15129
Air Asia,2019-04-03,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,4107
Jet Airways,2019-03-06,Banglore,New Delhi,08:55:00,23:00:00,845,1.0,No Info,16736
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,22:35:00,1595,1.0,In-flight meal not included,10844
Jet Airways,2019-05-18,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,No Info,14151
Air India,2019-05-18,Kolkata,Banglore,08:20:00,18:30:00,610,2.0,No Info,10907
Jet Airways,2019-06-09,Delhi,Cochin,13:00:00,19:00:00,360,1.0,In-flight meal not included,10262
Indigo,2019-03-01,Kolkata,Banglore,20:25:00,23:05:00,160,0.0,No Info,4778
Indigo,2019-05-09,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No Info,2754
Indigo,2019-05-18,Delhi,Cochin,05:10:00,10:05:00,295,1.0,No Info,7580
Jet Airways,2019-03-06,Delhi,Cochin,16:00:00,19:45:00,1665,1.0,No Info,17024
Air India,2019-06-09,Delhi,Cochin,09:45:00,09:25:00,1420,2.0,No Info,11185
Air India,2019-05-21,Delhi,Cochin,13:20:00,19:15:00,1795,2.0,No Info,13276
Vistara,2019-03-24,Banglore,New Delhi,07:00:00,09:40:00,160,0.0,No Info,4878
Air Asia,2019-06-15,Delhi,Cochin,07:55:00,22:25:00,870,1.0,No Info,6253
Air India,2019-06-24,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No Info,9194
Jet Airways,2019-06-03,Delhi,Cochin,11:30:00,19:00:00,450,1.0,In-flight meal not included,10262
Air Asia,2019-03-27,Delhi,Cochin,16:45:00,07:10:00,865,1.0,No Info,6151
